project,start_date,end_date,status,measurement_month,window_start_date,window_end_date,commits,authors,committers,minor_contributors,major_contributors,directories,top_level_dirs,releases,active_days,files_modified,files_added,files_deleted,files_renamed,added_lines,deleted_lines,emails,devs,emails_thread_starter,emails_thread_starter_word_count,emails_thread_starter_characters,emails_threads,emails_threads_word_count,emails_threads_characters,emails_no_replies,emails_no_replies_word_count,emails_no_replies_characters,emails_jira,new_contributors,avg_files_modified_commit,code,blanks,files,comments,lines,programming_lang,most_complex_unit_loc,most_complex_unit_mcabe_index,total_number_of_files,number_of_files_main,lines_of_code_main,number_of_files_test,lines_of_code_test,test_vs_main_lines_of_code_percentage,number_of_files_generated,lines_of_code_generated,number_of_files_build_and_deployment,lines_of_code_build_and_deployment,negligible_risk_file_size_count,low_risk_file_size_count,medium_risk_file_size_count,high_risk_file_size_count,very_high_risk_file_size_count,negligible_risk_file_size_loc,low_risk_file_size_loc,medium_risk_file_size_loc,high_risk_file_size_loc,very_high_risk_file_size_loc,number_of_units,lines_of_code_in_units,lines_of_code_outside_units,unit_size_negligible_risk_loc,unit_size_negligible_risk_count,unit_size_low_risk_loc,unit_size_low_risk_count,unit_size_medium_risk_loc,unit_size_medium_risk_count,unit_size_high_risk_loc,unit_size_high_risk_count,unit_size_very_high_risk_loc,unit_size_very_high_risk_count,conditional_complexity_negligible_risk_loc,conditional_complexity_negligible_risk_count,conditional_complexity_low_risk_loc,conditional_complexity_low_risk_count,conditional_complexity_medium_risk_loc,conditional_complexity_medium_risk_count,conditional_complexity_high_risk_loc,conditional_complexity_high_risk_count,conditional_complexity_very_high_risk_loc,conditional_complexity_very_high_risk_count,conditional_complexity_high_plus_risk_count,conditional_complexity_high_plus_risk_loc,number_of_contributors,duplication_number_of_duplicates,duplication_number_of_files_with_duplicates,duplication_number_of_duplicated_lines,duplication_percentage,unit_duplicates_count
hunter,2020-11-14,2025-02-05,,1,2020-11-14,2020-12-13,26,2,3,0,2,3,2,0,9,55,18,1,2,1642,263,0,0,0,0,0,0,0,0,0,0,0,0,2,2.1153846153846154,612,180,14,81,873,Python,42.0,9.0,18.0,9.0,468.0,3.0,73.0,15.59,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,0.0,31.0,317.0,151.0,112.0,22.0,75.0,5.0,130.0,4.0,0.0,0.0,0.0,0.0,177.0,26.0,140.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hunter,2020-11-14,2025-02-05,,2,2020-12-14,2021-01-12,3,1,1,0,1,3,2,0,2,5,1,0,0,394,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6666666666666667,907,209,13,87,1203,Python,57.0,11.0,17.0,10.0,753.0,1.0,33.0,4.38,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,395.0,134.0,224.0,0.0,0.0,53.0,559.0,194.0,165.0,36.0,118.0,8.0,219.0,8.0,57.0,1.0,0.0,0.0,330.0,45.0,172.0,7.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hunter,2020-11-14,2025-02-05,,3,2021-01-13,2021-02-11,7,2,2,0,2,4,2,0,5,20,4,0,0,985,204,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857142857,1344,285,17,111,1740,Python,111.0,14.0,23.0,11.0,1072.0,4.0,124.0,11.56,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,492.0,141.0,439.0,0.0,0.0,73.0,826.0,246.0,236.0,50.0,160.0,11.0,319.0,11.0,0.0,0.0,111.0,1.0,400.0,59.0,276.0,12.0,150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
hunter,2020-11-14,2025-02-05,,4,2021-02-12,2021-03-13,23,2,3,0,2,4,2,0,8,50,7,1,1,1690,819,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1739130434782608,2053,408,21,155,2616,Python,39.0,18.0,28.0,13.0,1394.0,6.0,396.0,28.4,0.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0,350.0,287.0,757.0,0.0,0.0,101.0,1119.0,275.0,318.0,65.0,306.0,21.0,412.0,14.0,83.0,1.0,0.0,0.0,651.0,84.0,270.0,13.0,198.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,12.0,0.925925925925926,0.0
hunter,2020-11-14,2025-02-05,,5,2021-03-14,2021-04-12,39,5,3,0,5,5,3,0,10,100,11,5,1,2407,1441,0,0,0,0,0,0,0,0,0,0,0,0,2,2.5641025641025643,2732,541,28,236,3509,Python,48.0,16.0,35.0,14.0,1768.0,7.0,517.0,29.24,0.0,0.0,1.0,4.0,8.0,3.0,3.0,0.0,0.0,399.0,461.0,908.0,0.0,0.0,120.0,1028.0,740.0,395.0,91.0,288.0,21.0,191.0,6.0,154.0,2.0,0.0,0.0,698.0,108.0,182.0,10.0,148.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,26.0,1.5634395670475043,0.0
hunter,2020-11-14,2025-02-05,,6,2021-04-13,2021-05-12,21,4,2,2,2,5,3,0,13,56,10,3,1,2570,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,2.6666666666666665,2945,669,34,480,4094,Python,68.0,35.0,42.0,15.0,1829.0,10.0,704.0,38.49,0.0,0.0,1.0,4.0,7.0,6.0,2.0,0.0,0.0,253.0,868.0,708.0,0.0,0.0,126.0,1217.0,612.0,371.0,96.0,281.0,19.0,178.0,6.0,251.0,4.0,136.0,1.0,617.0,108.0,267.0,14.0,129.0,2.0,204.0,2.0,0.0,0.0,2.0,204.0,6.0,0.0,0.0,0.0,0.0,0.0
hunter,2020-11-14,2025-02-05,,7,2021-05-13,2021-06-11,9,2,2,0,2,5,3,0,5,31,0,0,0,541,247,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4444444444444446,3160,703,34,513,4376,Python,85.0,36.0,42.0,15.0,1983.0,10.0,758.0,38.22,0.0,0.0,1.0,4.0,7.0,5.0,2.0,1.0,0.0,257.0,719.0,459.0,548.0,0.0,132.0,1352.0,631.0,384.0,99.0,269.0,19.0,257.0,9.0,296.0,4.0,146.0,1.0,641.0,112.0,310.0,15.0,88.0,2.0,313.0,3.0,0.0,0.0,3.0,313.0,6.0,0.0,0.0,0.0,0.0,0.0
hunter,2020-11-14,2025-02-05,,8,2021-06-12,2021-07-11,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3160,703,34,513,4376,Python,85.0,36.0,42.0,15.0,1983.0,10.0,758.0,38.22,0.0,0.0,1.0,4.0,7.0,5.0,2.0,1.0,0.0,257.0,719.0,459.0,548.0,0.0,132.0,1352.0,631.0,384.0,99.0,269.0,19.0,257.0,9.0,296.0,4.0,146.0,1.0,641.0,112.0,310.0,15.0,88.0,2.0,313.0,3.0,0.0,0.0,3.0,313.0,6.0,0.0,0.0,0.0,0.0,0.0
hunter,2020-11-14,2025-02-05,,9,2021-07-12,2021-08-10,1,1,1,0,1,5,3,0,1,4,0,0,0,61,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3199,706,34,513,4418,Python,85.0,36.0,42.0,15.0,2006.0,10.0,761.0,37.93,0.0,0.0,1.0,4.0,7.0,5.0,2.0,1.0,0.0,257.0,733.0,459.0,557.0,0.0,135.0,1369.0,637.0,399.0,102.0,269.0,19.0,251.0,9.0,296.0,4.0,154.0,1.0,656.0,115.0,271.0,14.0,121.0,3.0,321.0,3.0,0.0,0.0,3.0,321.0,6.0,0.0,0.0,0.0,0.0,0.0
hunter,2020-11-14,2025-02-05,,10,2021-08-11,2021-09-09,2,2,1,0,2,5,3,0,2,2,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,3199,713,34,525,4437,Python,85.0,36.0,42.0,15.0,2006.0,10.0,761.0,37.93,0.0,0.0,1.0,4.0,7.0,5.0,2.0,1.0,0.0,257.0,733.0,459.0,557.0,0.0,135.0,1369.0,637.0,399.0,102.0,269.0,19.0,251.0,9.0,296.0,4.0,154.0,1.0,656.0,115.0,271.0,14.0,121.0,3.0,321.0,3.0,0.0,0.0,3.0,321.0,7.0,0.0,0.0,0.0,0.0,0.0
